name,code,compatibility,description
Cinghia nastro,CING-100,"FLOWPACK-1000;FLOWPACK-2000","Cinghia per trasporto prodotto, usura dopo X ore"
Sensore ottico,SENS-OP1,"FLOWPACK-1000","Sensore ottico per allineamento prodotto"
Motoriduttore,MR-200,"FLOWPACK-2000","Motoriduttore per unità di trascinamento"
Bobina saldatura,BOB-SALD-1,"FLOWPACK-1000;FLOWPACK-2000;FLOWPACK-3000","Bobina per saldatura verticale, resistenza termica 200°C"
Cilindro pneumatico,CIL-PN50,"FLOWPACK-1500;FLOWPACK-2000","Cilindro pneumatico 50mm per pressione saldatura"
Valvola solenoide,VALV-SOL-24,"FLOWPACK-1000;FLOWPACK-1500;FLOWPACK-2000;FLOWPACK-3000","Valvola solenoide 24VDC per controllo aria"
Sensore temperatura,SENS-TEMP,"FLOWPACK-2000;FLOWPACK-3000","Sensore NTC per monitoraggio temperatura saldatura"
Fotocellula,FOTOC-IR,"FLOWPACK-1500;FLOWPACK-2000","Fotocellula infrarossa per rilevazione prodotto"
Cinghia dentata,CING-DENT-200,"FLOWPACK-1000;FLOWPACK-2000;FLOWPACK-3000","Cinghia dentata HTD 200mm larghezza, 5mm passo"
Cuscinetto radiale,CUSC-6204,"FLOWPACK-1000;FLOWPACK-1500;FLOWPACK-2000;FLOWPACK-3000","Cuscinetto radiale 6204-2Z per asse trasporto"
Guarnizione viton,GUARD-VITON-30,"FLOWPACK-1500;FLOWPACK-2000;FLOWPACK-3000","Guarnizione viton O-ring 30mm per cilindri"
Trasformatore 220/24V,TRASF-500W,"FLOWPACK-1000;FLOWPACK-2000;FLOWPACK-3000","Trasformatore 500W 220V AC a 24V DC"
Relè temporizzato,RELE-TIME-24,"FLOWPACK-1500;FLOWPACK-2000","Relè temporizzato 24VDC 1-60 secondi"
Fusibile 10A,FUSI-10A,"FLOWPACK-1000;FLOWPACK-1500;FLOWPACK-2000;FLOWPACK-3000","Fusibile ceramica 10A 250V"
Cavo schermato,CAB-SCHERMA-5m,"FLOWPACK-1000;FLOWPACK-2000;FLOWPACK-3000","Cavo schermato 5m per sensori"
